date,AAPL,Return,42d,252d,Mov_Vol 
2002-04-29,11.98,0.040022369953512084,12.174761904761894,10.70785714285708,-0.0007318896466998164
2002-04-30,12.14,0.01326719294404886,12.20547619047618,10.70833333333327,0.0006257741410255392
2002-05-01,11.99,-0.012432816591929338,12.211666666666655,10.706865079365015,-0.001914546469467144
2002-05-02,11.85,-0.011745101458282777,12.2045238095238,10.704880952380888,-0.0026034316049792458
2002-05-03,11.76,-0.007623925110659371,12.204285714285705,10.69956349206343,-0.006797583184616859
2002-05-06,11.32,-0.03813286969544392,12.187380952380945,10.69392857142851,-0.007444361637137914
2002-05-07,11.23,-0.007982304024685008,12.164523809523802,10.68702380952375,-0.009074311518217812
2002-05-08,12.19,0.08202717474282832,12.16119047619047,10.682619047618987,-0.005489813761033384
2002-05-09,12.1,-0.00741049089048479,12.150952380952374,10.681111111111049,-0.0019478972575936663
2002-05-10,11.66,-0.0370412716803491,12.134285714285706,10.676269841269779,-0.006268637780234111
2002-05-13,11.97,0.026239338647535426,12.127857142857135,10.674246031745968,-0.0026283550786317337
2002-05-14,12.81,0.06782259633876109,12.141904761904751,10.676349206349142,0.0026617639768925162
2002-05-15,12.64,-0.013359727189931529,12.145714285714275,10.678928571428507,0.0033256728412395806
2002-05-16,12.6,-0.0031695747612791787,12.151190476190466,10.683293650793585,0.005754495153934892
2002-05-17,12.51,-0.007168489478612516,12.153095238095228,10.687579365079301,0.005687536737014265
2002-05-20,12.37,-0.01125413807442332,12.15095238095237,10.690436507936443,0.0037776293222710105
2002-05-21,11.73,-0.05312452373901232,12.141190476190465,10.690992063491999,0.000756370239303469
2002-05-22,12.16,0.03600221387263679,12.14380952380951,10.691428571428506,0.0005724408389754608
2002-05-23,12.59,0.034750971518234745,12.165476190476177,10.694682539682475,0.004242583603279736
2002-05-24,12.07,-0.04217981294681558,12.173571428571414,10.695873015872952,0.0015855051412679143
2002-05-28,11.99,-0.0066500660700173075,12.17976190476189,10.696706349206282,0.0011130921956577014
2002-05-29,11.99,0.0,12.18333333333332,10.697658730158663,0.0012737231679520835
2002-05-30,12.1,0.009132483563272474,12.18023809523808,10.699603174603107,0.002604090611238771
2002-05-31,11.65,-0.03789927259098582,12.17119047619046,10.69980158730152,0.00027094269224548097
2002-06-03,11.45,-0.017316450011461045,12.160952380952367,10.700079365079297,0.00038629867166140497
2002-06-04,11.39,-0.005253952541157739,12.135714285714272,10.702698412698345,0.0037602564639421347
2002-06-05,11.36,-0.002637364166085626,12.111666666666652,10.708531746031678,0.00872935834135683
2002-06-06,11.08,-0.024956731973867507,12.083095238095225,10.712896825396758,0.006586572124050304
2002-06-07,10.7,-0.03489793985127731,12.050952380952369,10.713928571428502,0.0015496013621596454
2002-06-10,10.74,0.003731347612858184,12.013095238095225,10.715555555555486,0.0024519063064365218
2002-06-11,10.23,-0.048650509117183494,11.960714285714271,10.714603174603106,-0.0014607977213587225
2002-06-12,10.05,-0.01775194545845034,11.901666666666653,10.713373015872948,-0.0019137350639119373
2002-06-13,9.77,-0.02825616845039353,11.836666666666654,10.709166666666599,-0.006488616581072464
2002-06-14,10.05,0.028256168450393464,11.769523809523795,10.706746031745965,-0.003711975497355851
2002-06-17,10.27,0.021654389435381963,11.703095238095225,10.707738095238028,0.001552421561107363
2002-06-18,10.07,-0.01966631720999592,11.640476190476177,10.707420634920569,-0.000498472067539173
2002-06-19,8.56,-0.16246051657682015,11.546904761904747,10.700793650793583,-0.011227081261980654
2002-06-20,8.56,0.0,11.458571428571414,10.695317460317392,-0.009415525304649631
2002-06-21,8.43,-0.015303418139886773,11.370714285714271,10.688214285714219,-0.012129498084756154
2002-06-24,8.64,0.024605810802200194,11.293333333333319,10.682182539682472,-0.01020855957856219
2002-06-25,8.57,-0.008134850206275841,11.210238095238081,10.676111111111044,-0.010347891891838934
2002-06-26,8.27,-0.035633223574088546,11.133095238095224,10.665912698412631,-0.017046732361945063
2002-06-27,8.53,0.03095485246798781,11.050952380952365,10.655158730158664,-0.017379403839417374
2002-06-28,8.86,0.0379574031134018,10.972857142857128,10.646150793650728,-0.014368785639864394
2002-07-01,8.53,-0.03795740311340183,10.890476190476175,10.632420634920571,-0.021448451215093735
2002-07-02,8.47,-0.0070588528396245765,10.809999999999985,10.618888888888824,-0.021312522449083403
2002-07-03,8.77,0.034806297720128505,10.738809523809508,10.607380952380888,-0.017996440728677794
2002-07-05,9.37,0.06617628986623911,10.692380952380937,10.597857142857077,-0.014365221708995768
2002-07-08,9.01,-0.03917802463008416,10.639523809523794,10.587499999999936,-0.016025232526556986
2002-07-09,8.77,-0.02699826523615485,10.558095238095222,10.574880952380889,-0.019490019759827344
2002-07-10,8.66,-0.012622083809747832,10.47619047619046,10.56194444444438,-0.020126793331298836
2002-07-11,9.15,0.05503915671308619,10.416428571428554,10.55222222222216,-0.01494542198232432
2002-07-12,8.76,-0.043557974339129904,10.339999999999982,10.543253968253905,-0.014458142621381145
2002-07-15,9.11,0.039176806323566786,10.251904761904743,10.534365079365017,-0.013848935318558209
2002-07-16,8.93,-0.019956316383459287,10.16357142857141,10.52785714285708,-0.010621016186003283
2002-07-17,7.82,-0.13273184033118787,10.049761904761887,10.514166666666604,-0.0230218017824845
2002-07-18,7.49,-0.04311575702809161,9.930238095238078,10.495555555555493,-0.030629388252227437
2002-07-19,7.48,-0.0013360055427422512,9.813809523809507,10.475912698412637,-0.031993439910764844
2002-07-22,7.46,-0.002677377770716403,9.712142857142839,10.457976190476128,-0.02983923548739446
2002-07-23,7.24,-0.029934207818044505,9.594999999999981,10.436904761904698,-0.034653008698615505
2002-07-24,7.6,0.04852704089466038,9.476190476190459,10.425793650793587,-0.01975856898966773
2002-07-25,7.18,-0.056848864232152525,9.359761904761887,10.414682539682476,-0.02074292381437916
2002-07-26,7.17,-0.001393728448603803,9.244999999999983,10.403492063492,-0.020893809171320846
2002-07-29,7.51,0.0463298111645144,9.138333333333316,10.394523809523747,-0.01657254527150991
2002-07-30,7.72,0.027578898260641367,9.034047619047602,10.387261904761841,-0.013400528208271496
2002-07-31,7.63,-0.011726518740319094,8.938333333333317,10.380912698412635,-0.01199225858342886
2002-08-01,7.4,-0.03060784508624156,8.841904761904745,10.373373015872952,-0.014396314006872704
2002-08-02,7.22,-0.024625047305389294,8.742619047619032,10.364404761904696,-0.01715513738468842
2002-08-05,6.99,-0.03237439665901589,8.638571428571412,10.354563492063427,-0.01912804815796579
2002-08-06,7.37,0.052937149955526404,8.550238095238079,10.346507936507871,-0.0153259543617006
2002-08-07,7.51,0.018817759574798056,8.474285714285699,10.338492063491998,-0.015005772392758578
2002-08-08,7.65,0.01847018206240127,8.400714285714269,10.329523809523744,-0.01630530550503006
2002-08-09,7.5,-0.019802627296179754,8.33571428571427,10.320595238095173,-0.016527395159318108
2002-08-12,7.49,-0.0013342230131366103,8.274761904761888,10.312380952380886,-0.015371747684277109
2002-08-13,7.3,-0.02569444937478275,8.215952380952364,10.303174603174538,-0.017384470677519658
2002-08-14,7.59,0.038957243253193226,8.157380952380935,10.295793650793588,-0.013807240636555904
2002-08-15,7.8,0.027292142288007554,8.098571428571413,10.288968253968191,-0.012552900334608885
2002-08-16,7.91,0.014004048084016403,8.047142857142841,10.282619047618983,-0.011604523197080817
2002-08-19,7.99,0.010062977998620746,8.033571428571413,10.276428571428506,-0.01123501882487281
2002-08-20,7.95,-0.005018831111942735,8.019047619047603,10.270833333333266,-0.010285255026328887
2002-08-21,8.06,0.013741627852296389,8.01023809523808,10.266230158730092,-0.008470277137515065
2002-08-22,7.99,-0.008722796740353651,7.994761904761889,10.260952380952313,-0.009699316049055879
2002-08-23,7.86,-0.016404153337068073,7.977857142857128,10.256309523809456,-0.008741421287245026
2002-08-26,7.76,-0.012804272245987854,7.965714285714271,10.251150793650726,-0.009756950398929572
2002-08-27,7.43,-0.04345647546545954,7.939523809523796,10.245079365079297,-0.011795286495377906
2002-08-28,7.35,-0.010825545504922447,7.903571428571415,10.238134920634852,-0.013453903711262606
2002-08-29,7.35,0.0,7.875476190476178,10.231984126984058,-0.012053977680688449
2002-08-30,7.38,0.004073325387635869,7.849523809523796,10.224444444444377,-0.014431181748367465
2002-09-03,7.03,-0.04858693278980757,7.808095238095224,10.214801587301519,-0.01870203975707711
2002-09-04,7.24,0.02943450057505153,7.757380952380939,10.207023809523742,-0.015092264886186311
2002-09-05,7.09,-0.020935865853588954,7.711666666666653,10.19980158730152,-0.014393447838624378
2002-09-06,7.19,0.014005831188919168,7.674047619047606,10.192976190476124,-0.013511163404561708
2002-09-09,7.18,-0.0013917886728226083,7.63880952380951,10.184682539682473,-0.016093979017679595
2002-09-10,7.16,-0.0027894020875785254,7.591428571428558,10.176904761904694,-0.015242036172095002
2002-09-11,7.14,-0.002797204621061254,7.55285714285713,10.168452380952314,-0.01644590216110307
2002-09-12,7.07,-0.009852296443011594,7.504285714285701,10.161349206349138,-0.014216899610876944
2002-09-13,7.09,0.002824860635554619,7.460476190476176,10.155198412698347,-0.012455015546691177
2002-09-16,7.25,0.022316128322547243,7.446904761904748,10.14948412698406,-0.011412729889682267
2002-09-17,7.4,0.0204785313435407,7.44476190476189,10.145158730158665,-0.008655953385747468
2002-09-18,7.51,0.014755465565919267,7.4454761904761755,10.142658730158667,-0.005074470019254658
2002-09-19,7.29,-0.029731919755476514,7.441428571428557,10.137817460317395,-0.009747602751979292
